year,week_mean,week_sd
1967,39.7,2.4
1968,39.6,2.4
1969,39.7,2.4
1970,39.7,2.4
1971,39.8,2.3
1972,39.8,2.3
1973,39.8,2.4
1974,39.8,2.3
1975,39.8,2.3
1976,39.8,2.3
1977,39.8,2.3
1978,39.8,2.3
1979,39.8,2.2
1980,39.8,2.2
1981,39.8,2.3
1982,39.8,2.2
1983,39.7,2.3
1984,39.7,2.3
1985,39.7,2.3
1986,39.7,2.3
1987,39.7,2.3
1988,39.7,2.4
1989,39.7,2.4
1990,39.6,2.5
1991,39.6,2.4
1992,39.6,2.4
1993,39.6,2.4
1994,39.6,2.3
1995,39.6,2.2
1996,39.6,2.3
1997,39.6,2.2
1998,39.5,2.3
1999,39.4,2.2
2000,39.3,2.2
2001,39.3,2.2
2002,39.3,2.2
2003,39.3,2.1
2004,39.3,2.1
2005,39.3,2.1
2006,39.3,2.1
2007,39.3,2.1
2008,39.3,2.1
2009,39.3,2
2010,39.3,2
2011,39.4,1.9
2012,39.3,2
2013,39.3,2
2014,39.3,2
2015,39.3,2
2016,39.3,2
2017,39.3,1.9
2018,39.3,1.9
2019,39.3,2
2020,39.3,1.9
2021,39.3,1.9
2022,39.2,1.9
2023,39.2,1.9
