year,reported
1967,96
1968,96.3
1969,96.5
1970,96.5
1971,96.3
1972,96.2
1973,96.2
1974,96.1
1975,95.8
1976,95.8
1977,95.9
1978,95.8
1979,95.2
1980,94.9
1981,94.7
1982,94.1
1983,93.2
1984,92.7
1985,92.4
1986,91.1
1987,91.1
1988,90.9
1989,91.6
1990,92.2
1991,91.2
1992,91.3
1993,90.1
1994,90.3
1995,89.7
1996,90.4
1997,90.5
1998,91.3
1999,99.5
2000,99.5
2001,99.2
2002,99.2
2003,99.3
2004,99.3
2005,99.4
2006,99.3
2007,99.2
2008,99.3
2009,99.1
2010,99.2
2011,99.4
2012,99.6
2013,99.7
2014,99.7
2015,99.7
2016,99.7
2017,99.8
2018,100
2019,100
2020,100
2021,100
2022,100
2023,100
