year,week_22_27,week_28_36,week_37,week_38,week_39,week_40,week_41,week_42,week_43_onwards
1967,0.5,5.7,3.7,8.3,19.6,27.9,20.4,9.4,4.4
1968,0.5,5.8,3.8,8.8,19.3,27.6,20.3,9.3,4.6
1969,0.5,5.4,3.6,8.5,19.3,27.6,20.7,9.6,4.7
1970,0.5,5.4,3.5,8.2,18.5,27.6,21.2,10.2,4.9
1971,0.5,5.1,3.5,8,18.6,27.4,21.4,10.5,5
1972,0.5,5.2,3.6,8.1,18.4,27.2,21.1,10.5,5.2
1973,0.5,5.2,3.6,8.1,18.7,27.2,21.4,10.3,4.9
1974,0.5,5,3.6,8,18.9,27.2,21.4,10.5,5
1975,0.5,5.2,3.3,8,18.5,27.8,21.4,10.5,4.8
1976,0.5,5,3.4,8.1,18.1,27.6,21.6,10.8,4.9
1977,0.5,4.9,3.4,7.8,18.2,27.5,22.3,10.8,4.6
1978,0.4,4.9,3.4,8.1,18.5,27.4,22,10.6,4.5
1979,0.5,4.7,3.3,7.8,18.9,27.5,22.5,10.4,4.2
1980,0.5,4.7,3.6,8.2,18.9,27.7,21.6,10.6,4.2
1981,0.5,4.9,3.6,8.2,18.6,26.8,22.5,10.5,4.6
1982,0.4,4.7,3.6,8.3,18.9,27.2,22.2,10.2,4.4
1983,0.5,4.9,3.6,8.4,18.9,27.3,21.8,10.3,4.3
1984,0.5,5,3.6,8.6,19.2,27.2,21.3,10.3,4.3
1985,0.5,5.3,3.7,8.8,19.2,27.2,21.2,9.6,4.3
1986,0.5,5.2,3.7,8.9,19.1,27,21.3,9.8,4.5
1987,0.4,5.6,3.9,8.9,19.4,26.6,20.9,9.7,4.6
1988,0.5,5.5,3.8,9.1,19.5,26.6,20.6,9.6,4.6
1989,0.5,5.6,4.1,9,19.4,26.6,20.5,9.6,4.6
1990,0.6,5.9,4,9.6,18.9,26.4,20.3,9.4,4.8
1991,0.5,6,4.2,9.5,19.3,26.4,20.2,9.3,4.6
1992,0.6,5.5,4.2,9.5,19.2,26,20.5,9.8,4.8
1993,0.5,5.5,4.1,9.8,19.3,26.4,21,9.6,3.9
1994,0.5,5.7,4.2,9.3,19.1,26.6,21.3,10,3.2
1995,0.4,5.9,4.1,9.6,19.6,26.7,21.1,9.9,2.6
1996,0.5,5.7,4.2,9.6,19.4,26.6,21,10.3,2.7
1997,0.4,5.8,4.3,9.7,19.5,26.5,21.3,10,2.5
1998,0.5,6,4.3,10.1,19.2,26.4,21,9.9,2.6
1999,0.5,5.9,4.7,11.6,22,27.7,18.7,8.2,0.6
2000,0.5,5.9,4.8,11.9,22.3,27.6,18.5,7.9,0.6
2001,0.5,6.1,5,12.4,22.3,27.2,18.4,7.4,0.5
2002,0.5,6.3,5.2,12.8,22.3,27.3,18,7.2,0.5
2003,0.4,5.9,5.2,13,22.3,27.3,18.1,7.3,0.4
2004,0.4,6.1,5.3,13.1,22.6,27.6,18.1,6.5,0.3
2005,0.4,5.9,4.9,12.8,22.5,27.4,18.6,7.2,0.3
2006,0.4,5.9,5,12.8,22.7,27.4,18.4,7.1,0.3
2007,0.4,6.1,5.3,13,22.9,27.2,18.3,6.5,0.2
2008,0.4,5.8,5.3,13.3,23.4,27.4,18.1,6.1,0.2
2009,0.4,5.6,5,12.6,22.8,28.1,19.2,6.1,0.2
2010,0.4,5.5,4.8,12.1,22.9,28.2,20.1,5.9,0.1
2011,0.3,5.2,4.7,11.8,22.8,28.7,21.6,4.7,0.1
2012,0.4,5.5,4.8,12.3,23.3,28.5,21.3,3.8,0.1
2013,0.4,5.2,5.1,12,23.5,28.4,21.5,3.7,0.1
2014,0.4,5.2,5.1,12.2,23.3,28.9,21.3,3.5,0
2015,0.4,5.3,5.2,12.6,23.1,28.9,20.6,3.9,0
2016,0.4,5.4,5.2,12.5,23.4,28.9,20.3,4,0
2017,0.4,5.1,5.2,12.3,23.1,28.7,20.5,4.6,0
2018,0.4,5.1,5.5,12.5,23.8,28.6,19.8,4.3,0
2019,0.4,5.2,5.6,13.2,23.1,28.4,19.8,4.4,0
2020,0.3,5.2,5.7,13.7,22.7,28.6,20.2,3.6,0
2021,0.4,5,5.7,14.3,22.9,28.2,19.9,3.6,0
2022,0.4,5.4,6,14.5,23,28.3,19,3.4,0
2023,0.3,5.2,5.8,14.6,22.9,28.1,19.3,3.7,0
